Name,Memory Size,CPUs
Sec_01-PROD-01 - SICCA - CentOS 7 x64,4 GB,2
Sec_01-PROD-02 - GLPI - Centos 7 x64,4 GB,1
Sec_01-PROD-03 - Web Producao - Debian 10 x64,12 GB,4
Sec_01-PROD-04 - Banco de Dados - Debian 10 x64,16 GB,8
Sec_01-PROD-05 - Web Homologacao - Debian 10 x64,2 GB,1
Sec_01-PROD-06 - App Serv - OracleLinux 8 x64,8 GB,4
Sec_01-PROD-07 - DB Serv - OracleLinux 8 x64,4 GB,2
Sec_01-PROD-08 - Load Balance - OracleLinux 8 x64,4 GB,2
Sec_01-PROD-09 - App Prod - OracleLinux 8 x64,12 GB,4
Sec_01-PROD-11 - Samba - Debian 12,4 GB,2
Sec_02-HML-01 - Treinamento - Windows 2003 32 Bits,3 GB,4
Sec_02-PROD-01 - ALCompras II - Windows 2003 32 Bits,3 GB,2
Sec_02-PROD-03 - Database - Oracle Linux 6.3 64 Bits,8 GB,8
Sec_03-DEV-01 - XVIA-DEV-CENTRAL,4 GB,2
Sec_03-DEV-02 - XVIA-DEV-CA,4 GB,2
Sec_03-DEV-03 - XVIA-DEV-SS-GERENCIA,4 GB,2
Sec_03-DEV-04 - REDIS-DEV,4 GB,2
Sec_03-DEV-05 - XVIA-DEV-SS-ITEC,4 GB,2
Sec_03-DEV-06 - XVIA-DEV-SS-SEPLAG,4 GB,2
Sec_03-DEV-07 - XVIA-DEV-SQL - Windows Server 2012 x64 Bits,15 GB,4
Sec_03-DEV-08 - XVIA-DEV-POSTGRESQL,16 GB,2
Sec_03-DEV-09 - XVIA-DEV-SS-SESAU,4 GB,2
Sec_03-DEV-10 - XVIA-DEV-SS-SEDUC,4 GB,2
Sec_03-K8S-01 - CP 1,8 GB,4
Sec_03-K8S-02 - WORKER 01,12 GB,4
Sec_03-K8S-03 - WORKER 02,12 GB,4
Sec_03-K8S-04 - Docker,8 GB,2
Sec_04-PROD-03 - Bacula - Debian11 x64,4 GB,2
Sec_04-PROD-05 - Monitoramento - Debian 11 x64,4 GB,2
Sec_04-PROD-06 - App Web - Ubuntu 22.04 LTS,4 GB,2
Sec_04-PROD-07 - Ominichannel - Debian 12,8 GB,4
Sec_05-PROD-01 - SIGA - Ubuntu 16.04 LTS,4 GB,4
Sec_05-PROD-02 - MySQL - Debian 12,4 GB,2
Sec_06-PROD-02 - Commvalt Server - Windows 2012,32 GB,8
Sec_07-PROD-01 - FGTS  Firebird 2.5 - Windows Server 2003 32 Bits,4 GB,3
Sec_08-HML-01 - Banco Oracle 11g - Oracle Linux 7.1 x64,8 GB,2
Sec_08-HML-02 - Worker Node 2 - Debian 11,2 GB,2
Sec_08-HML-03 - Apps Novo - Ubuntu 18 LTS,8 GB,2
Sec_08-PROD-01 - UranoApp - Debian11 x64,8 GB,2
Sec_08-PROD-03 - Web Service - Ubuntu 16.04 x64,4 GB,2
Sec_08-PROD-04 - Cluster Docker - Debian 11 x64,8 GB,2
Sec_08-PROD-05 - RockerChat - Debian 12,16 GB,6
Sec_08-PROD-06 AD - Windows Server 2012 Standart R1,6 GB,4
Sec_08-PROD-07 - Banco Oracle 11g - Oracle Linux 7.1 x64,8 GB,2
Sec_08-PROD-08 - Gestao Estrategica - Debian 10 x64,4 GB,2
Sec_08-PROD-09 - Cluster Docker - Debian 11,4 GB,2
Sec_08-PROD-10 - PostgreSQL - Debian 12 x64,8 GB,2
Sec_09-HML-01 - ESIG - CentOS 7,6 GB,4
Sec_09-HML-02 - OCR - Windows 2012,8 GB,4
Sec_09-PROD-03 - Banco de Dados 01 - PostgreSQL - CentOS 7 x64,6 GB,4
