Name,Memory Size (MB),CPUs
cs-01-host-01.gerencia.itec.local,"262,109.2 MB",2
cs-01-host-03.gerencia.itec.local,"262,109.21 MB",2
cs-01-host-04.gerencia.itec.local,"262,109.2 MB",2
cs-01-host-05.gerencia.itec.local,"262,109.2 MB",2
cs-01-host-06.gerencia.itec.local,"262,109.2 MB",2
cs-01-host-07.gerencia.itec.local,"262,109.2 MB",2
cs-01-host-08.gerencia.itec.local,"262,109.2 MB",2
cs-01-host-09.gerencia.itec.local,"262,109.2 MB",2
cs-01-host-10.gerencia.itec.local,"262,109.2 MB",2
cs-01-host-11.gerencia.itec.local,"131,037.2 MB",2
cs-01-host-12.gerencia.itec.local,"262,109.2 MB",2
cs-01-host-13.gerencia.itec.local,"262,109.2 MB",2
cs-01-host-14.gerencia.itec.local,"262,109.2 MB",2
cs-01-host-15.gerencia.itec.local,"262,109.2 MB",2
cs-01-host-16.gerencia.itec.local,"262,109.2 MB",2
cs-02-host-02.gerencia.itec.local,"98,293.61 MB",2
cs-02-host-03.gerencia.itec.local,"98,293.61 MB",2
cs-02-host-04.gerencia.itec.local,"262,109.21 MB",2
cs-02-host-05.gerencia.itec.local,"98,293.61 MB",2
cs-02-host-06.gerencia.itec.local,"98,293.61 MB",2
cs-02-host-07.gerencia.itec.local,"262,109.21 MB",2
cs-02-host-08.gerencia.itec.local,"262,109.21 MB",2
cs-02-host-09.gerencia.itec.local,"98,293.61 MB",2
cs-02-host-10.gerencia.itec.local,"98,293.61 MB",2
cs-02-host-11.gerencia.itec.local,"262,109.21 MB",2
s-hpbl05.gerencia.itec.local,"124,917.67 MB",2
s-hpbl09.gerencia.itec.local,"94,197.67 MB",2
s-hpbl10.gerencia.itec.local,"122,869.67 MB",2
s-hpbl11.gerencia.itec.local,"122,869.67 MB",2
s-hpbl12.gerencia.itec.local,"129,013.67 MB",2
s-hpbl13.gerencia.itec.local,"129,013.67 MB",2
